health,age,action,Dead,no AAA,<30 mm,30-35 mm,35-40 mm,40-45 mm,45-50 mm,50-55 mm,55-60 mm,60-65 mm,65-70 mm,70-75 mm,75-80 mm,> 80 mm,
40-45 mm,60,surgery,0.35,0.65,0,0,0,0,0,0,0,0,0,0,0,0,1
45-50 mm,60,surgery,0.38,0.62,0,0,0,0,0,0,0,0,0,0,0,0,1
50-55 mm,60,surgery,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1
55-60 mm,60,surgery,0.42,0.58,0,0,0,0,0,0,0,0,0,0,0,0,1
60-65 mm,60,surgery,0.44,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1
65-70 mm,60,surgery,0.46,0.54,0,0,0,0,0,0,0,0,0,0,0,0,1
70-75 mm,60,surgery,0.48,0.52,0,0,0,0,0,0,0,0,0,0,0,0,1
75-80 mm,60,surgery,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1
> 80 mm,60,surgery,0.52,0.48,0,0,0,0,0,0,0,0,0,0,0,0,1
Dead,60,surveillance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
no AAA,60,surveillance,0.09,0.91,0,0,0,0,0,0,0,0,0,0,0,0,1
<30 mm,60,surveillance,0.2,0.1,0.5,0.2,0,0,0,0,0,0,0,0,0,0,1
30-35 mm,60,surveillance,0.21,0.09,0,0.5,0.2,0,0,0,0,0,0,0,0,0,1
35-40 mm,60,surveillance,0.22,0.08,0,0,0.5,0.2,0,0,0,0,0,0,0,0,1
40-45 mm,60,surveillance,0.23,0.07,0,0,0,0.5,0.2,0,0,0,0,0,0,0,1
45-50 mm,60,surveillance,0.24,0.06,0,0,0,0,0.5,0.2,0,0,0,0,0,0,1
50-55 mm,60,surveillance,0.25,0.05,0,0,0,0,0,0.5,0.2,0,0,0,0,0,1
55-60 mm,60,surveillance,0.26,0.04,0,0,0,0,0,0,0.5,0.2,0,0,0,0,1
60-65 mm,60,surveillance,0.27,0.03,0,0,0,0,0,0,0,0.5,0.2,0,0,0,1
65-70 mm,60,surveillance,0.28,0.02,0,0,0,0,0,0,0,0,0.5,0.2,0,0,1
70-75 mm,60,surveillance,0.29,0.01,0,0,0,0,0,0,0,0,0,0.5,0.2,0,1
75-80 mm,60,surveillance,0.3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,1
> 80 mm,60,surveillance,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.69,1 
